 1.00000000e-01 -3.80176868e+01  1.00000000e-01 -9.11878950e+01 
 1.12201845e-01 -3.70181700e+01  1.12201845e-01 -9.13327906e+01 
 1.25892541e-01 -3.60187783e+01  1.25892541e-01 -9.14953459e+01 
 1.41253754e-01 -3.50195439e+01  1.41253754e-01 -9.16777071e+01 
 1.58489319e-01 -3.40205076e+01  1.58489319e-01 -9.18822791e+01 
 1.77827941e-01 -3.30217204e+01  1.77827941e-01 -9.21117552e+01 
 1.99526231e-01 -3.20232469e+01  1.99526231e-01 -9.23691507e+01 
 2.23872114e-01 -3.10251678e+01  2.23872114e-01 -9.26578388e+01 
 2.51188643e-01 -3.00275849e+01  2.51188643e-01 -9.29815909e+01 
 2.81838293e-01 -2.90306259e+01  2.81838293e-01 -9.33446190e+01 
 3.16227766e-01 -2.80344513e+01  3.16227766e-01 -9.37516220e+01 
 3.54813389e-01 -2.70392624e+01  3.54813389e-01 -9.42078341e+01 
 3.98107171e-01 -2.60453116e+01  3.98107171e-01 -9.47190743e+01 
 4.46683592e-01 -2.50529152e+01  4.46683592e-01 -9.52917963e+01 
 5.01187234e-01 -2.40624686e+01  5.01187234e-01 -9.59331357e+01 
 5.62341325e-01 -2.30744658e+01  5.62341325e-01 -9.66509510e+01 
 6.30957344e-01 -2.20895225e+01  6.30957344e-01 -9.74538538e+01 
 7.07945784e-01 -2.11084038e+01  7.07945784e-01 -9.83512199e+01 
 7.94328235e-01 -2.01320579e+01  7.94328235e-01 -9.93531730e+01 
 8.91250938e-01 -1.91616545e+01  8.91250938e-01 -1.00470526e+02 
 1.00000000e+00 -1.81986300e+01  1.00000000e+00 -1.01714664e+02 
 1.12201845e+00 -1.72447361e+01  1.12201845e+00 -1.03097348e+02 
 1.25892541e+00 -1.63020928e+01  1.25892541e+00 -1.04630409e+02 
 1.41253754e+00 -1.53732399e+01  1.41253754e+00 -1.06325318e+02 
 1.58489319e+00 -1.44611827e+01  1.58489319e+00 -1.08192582e+02 
 1.77827941e+00 -1.35694226e+01  1.77827941e+00 -1.10240974e+02 
 1.99526231e+00 -1.27019614e+01  1.99526231e+00 -1.12476565e+02 
 2.23872114e+00 -1.18632644e+01  2.23872114e+00 -1.14901615e+02 
 2.51188643e+00 -1.10581684e+01  2.51188643e+00 -1.17513369e+02 
 2.81838293e+00 -1.02917197e+01  2.81838293e+00 -1.20302907e+02 
 3.16227766e+00 -9.56893820e+00  3.16227766e+00 -1.23254225e+02 
 3.54813389e+00 -8.89451577e+00  3.54813389e+00 -1.26343787e+02 
 3.98107171e+00 -8.27247278e+00  3.98107171e+00 -1.29540754e+02 
 4.46683592e+00 -7.70581817e+00  4.46683592e+00 -1.32808037e+02 
 5.01187234e+00 -7.19626718e+00  5.01187234e+00 -1.36104179e+02 
 5.62341325e+00 -6.74406987e+00  5.62341325e+00 -1.39385866e+02 
 6.30957344e+00 -6.34798548e+00  6.30957344e+00 -1.42610723e+02 
 7.07945784e+00 -6.00540807e+00  7.07945784e+00 -1.45739968e+02 
 7.94328235e+00 -5.71261724e+00  7.94328235e+00 -1.48740528e+02 
 8.91250938e+00 -5.46510534e+00  8.91250938e+00 -1.51586380e+02 
 1.00000000e+01 -5.25792513e+00  1.00000000e+01 -1.54259045e+02 
 1.12201845e+01 -5.08600929e+00  1.12201845e+01 -1.56747340e+02 
 1.25892541e+01 -4.94442999e+00  1.25892541e+01 -1.59046590e+02 
 1.41253754e+01 -4.82858499e+00  1.41253754e+01 -1.61157532e+02 
 1.58489319e+01 -4.73431195e+00  1.58489319e+01 -1.63085114e+02 
 1.77827941e+01 -4.65794200e+00  1.77827941e+01 -1.64837338e+02 
 1.99526231e+01 -4.59630740e+00  1.99526231e+01 -1.66424248e+02 
 2.23872114e+01 -4.54671822e+00  2.23872114e+01 -1.67857083e+02 
 2.51188643e+01 -4.50692063e+00  2.51188643e+01 -1.69147634e+02 
 2.81838293e+01 -4.47504635e+00  2.81838293e+01 -1.70307745e+02 
 3.16227766e+01 -4.44955997e+00  3.16227766e+01 -1.71348978e+02 
 3.54813389e+01 -4.42920834e+00  3.54813389e+01 -1.72282382e+02 
 3.98107171e+01 -4.41297429e+00  3.98107171e+01 -1.73118351e+02 
 4.46683592e+01 -4.40003582e+00  4.46683592e+01 -1.73866550e+02 
 5.01187234e+01 -4.38973100e+00  5.01187234e+01 -1.74535885e+02 
 5.62341325e+01 -4.38152826e+00  5.62341325e+01 -1.75134508e+02 
 6.30957344e+01 -4.37500170e+00  6.30957344e+01 -1.75669844e+02 
 7.07945784e+01 -4.36981068e+00  7.07945784e+01 -1.76148626e+02 
 7.94328235e+01 -4.36568314e+00  7.94328235e+01 -1.76576944e+02 
 8.91250938e+01 -4.36240206e+00  8.91250938e+01 -1.76960296e+02 
 1.00000000e+02 -4.35979446e+00  1.00000000e+02 -1.77303635e+02 
 1.12201845e+02 -4.35772258e+00  1.12201845e+02 -1.77611424e+02 
 1.25892541e+02 -4.35607679e+00  1.25892541e+02 -1.77887681e+02 
 1.41253754e+02 -4.35476989e+00  1.41253754e+02 -1.78136022e+02 
 1.58489319e+02 -4.35373256e+00  1.58489319e+02 -1.78359712e+02 
 1.77827941e+02 -4.35290973e+00  1.77827941e+02 -1.78561693e+02 
 1.99526231e+02 -4.35225771e+00  1.99526231e+02 -1.78744630e+02 
 2.23872114e+02 -4.35174183e+00  2.23872114e+02 -1.78910937e+02 
 2.51188643e+02 -4.35133466e+00  2.51188643e+02 -1.79062814e+02 
 2.81838293e+02 -4.35101456e+00  2.81838293e+02 -1.79202269e+02 
 3.16227766e+02 -4.35076450e+00  3.16227766e+02 -1.79331149e+02 
 3.54813389e+02 -4.35057116e+00  3.54813389e+02 -1.79451161e+02 
 3.98107171e+02 -4.35042426e+00  3.98107171e+02 -1.79563895e+02 
 4.46683592e+02 -4.35031598e+00  4.46683592e+02 -1.79670846e+02 
 5.01187234e+02 -4.35024056e+00  5.01187234e+02 -1.79773431e+02 
 5.62341325e+02 -4.35019398e+00  5.62341325e+02 -1.79873012e+02 
 6.30957344e+02 -4.35017377e+00  6.30957344e+02 -1.79970908e+02 
 7.07945784e+02 -4.35017884e+00  7.07945784e+02  1.79931582e+02 
 7.94328235e+02 -4.35020947e+00  7.94328235e+02  1.79833164e+02 
 8.91250938e+02 -4.35026729e+00  8.91250938e+02  1.79732534e+02 
 1.00000000e+03 -4.35035538e+00  1.00000000e+03  1.79628356e+02 
 1.12201845e+03 -4.35047841e+00  1.12201845e+03  1.79519250e+02 
 1.25892541e+03 -4.35064295e+00  1.25892541e+03  1.79403768e+02 
 1.41253754e+03 -4.35085776e+00  1.41253754e+03  1.79280380e+02 
 1.58489319e+03 -4.35113425e+00  1.58489319e+03  1.79147452e+02 
 1.77827941e+03 -4.35148714e+00  1.77827941e+03  1.79003222e+02 
 1.99526231e+03 -4.35193521e+00  1.99526231e+03  1.78845783e+02 
 2.23872114e+03 -4.35250228e+00  2.23872114e+03  1.78673051e+02 
 2.51188643e+03 -4.35321849e+00  2.51188643e+03  1.78482745e+02 
 2.81838293e+03 -4.35412191e+00  2.81838293e+03  1.78272352e+02 
 3.16227766e+03 -4.35526050e+00  3.16227766e+03  1.78039101e+02 
 3.54813389e+03 -4.35669469e+00  3.54813389e+03  1.77779923e+02 
 3.98107171e+03 -4.35850053e+00  3.98107171e+03  1.77491418e+02 
 4.46683592e+03 -4.36077363e+00  4.46683592e+03  1.77169812e+02 
 5.01187234e+03 -4.36363422e+00  5.01187234e+03  1.76810914e+02 
 5.62341325e+03 -4.36723329e+00  5.62341325e+03  1.76410070e+02 
 6.30957344e+03 -4.37176040e+00  6.30957344e+03  1.75962112e+02 
 7.07945784e+03 -4.37745330e+00  7.07945784e+03  1.75461311e+02 
 7.94328235e+03 -4.38460987e+00  7.94328235e+03  1.74901323e+02 
 8.91250938e+03 -4.39360292e+00  8.91250938e+03  1.74275142e+02 
 1.00000000e+04 -4.40489823e+00  1.00000000e+04  1.73575053e+02 
 1.12201845e+04 -4.41907666e+00  1.12201845e+04  1.72792604e+02 
 1.25892541e+04 -4.43686077e+00  1.25892541e+04  1.71918581e+02 
 1.41253754e+04 -4.45914667e+00  1.41253754e+04  1.70943019e+02 
 1.58489319e+04 -4.48704136e+00  1.58489319e+04  1.69855249e+02 
 1.77827941e+04 -4.52190589e+00  1.77827941e+04  1.68643994e+02 
 1.99526231e+04 -4.56540351e+00  1.99526231e+04  1.67297544e+02 
 2.23872114e+04 -4.61955151e+00  2.23872114e+04  1.65804028e+02 
 2.51188643e+04 -4.68677367e+00  2.51188643e+04  1.64151811e+02 
 2.81838293e+04 -4.76994823e+00  2.81838293e+04  1.62330045e+02 
 3.16227766e+04 -4.87244344e+00  3.16227766e+04  1.60329399e+02 
 3.54813389e+04 -4.99813018e+00  3.54813389e+04  1.58142968e+02 
 3.98107171e+04 -5.15135757e+00  3.98107171e+04  1.55767358e+02 
 4.46683592e+04 -5.33687666e+00  4.46683592e+04  1.53203870e+02 
 5.01187234e+04 -5.55969810e+00  5.01187234e+04  1.50459681e+02 
 5.62341325e+04 -5.82487591e+00  5.62341325e+04  1.47548845e+02 
 6.30957344e+04 -6.13722116e+00  6.30957344e+04  1.44492888e+02 
 7.07945784e+04 -6.50096618e+00  7.07945784e+04  1.41320780e+02 
 7.94328235e+04 -6.91941865e+00  7.94328235e+04  1.38068103e+02 
 8.91250938e+04 -7.39465849e+00  8.91250938e+04  1.34775378e+02 
 1.00000000e+05 -7.92733262e+00  1.00000000e+05  1.31485697e+02 
 1.12201845e+05 -8.51658888e+00  1.12201845e+05  1.28241954e+02 
 1.25892541e+05 -9.16016285e+00  1.25892541e+05  1.25084120e+02 
 1.41253754e+05 -9.85459956e+00  1.41253754e+05  1.22046946e+02 
 1.58489319e+05 -1.05955659e+01  1.58489319e+05  1.19158408e+02 
 1.77827941e+05 -1.13781980e+01  1.77827941e+05  1.16438994e+02 
 1.99526231e+05 -1.21974323e+01  1.99526231e+05  1.13901765e+02 
 2.23872114e+05 -1.30482828e+01  2.23872114e+05  1.11553030e+02 
 2.51188643e+05 -1.39260471e+01  2.51188643e+05  1.09393379e+02 
 2.81838293e+05 -1.48264389e+01  2.81838293e+05  1.07418874e+02 
 3.16227766e+05 -1.57456563e+01  3.16227766e+05  1.05622228e+02 
 3.54813389e+05 -1.66804001e+01  3.54813389e+05  1.03993865e+02 
 3.98107171e+05 -1.76278573e+01  3.98107171e+05  1.02522806e+02 
 4.46683592e+05 -1.85856632e+01  4.46683592e+05  1.01197373e+02 
 5.01187234e+05 -1.95518527e+01  5.01187234e+05  1.00005719e+02 
 5.62341325e+05 -2.05248072e+01  5.62341325e+05  9.89362039e+01 
 6.30957344e+05 -2.15032035e+01  6.30957344e+05  9.79776551e+01 
 7.07945784e+05 -2.24859662e+01  7.07945784e+05  9.71195270e+01 
 7.94328235e+05 -2.34722252e+01  7.94328235e+05  9.63519928e+01 
 8.91250938e+05 -2.44612792e+01  8.91250938e+05  9.56659845e+01 
 1.00000000e+06 -2.54525648e+01  1.00000000e+06  9.50531965e+01 
