# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
1 | Cd 35µ Rd 0.1 | 1 | 0.173 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.734 @4k | 0.095 | 0.095 @211k | 2.32 @33k | 0.752 | 0.719 @211k
1 | Cd 35µ Rd 0.1 | 2 | 0.116 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.298 @3k | 0.093 | 0.094 @251k | 2.56 @20k | 0.445 | 0.449 @224k
1 | Cd 35µ Rd 0.1 | 3 | 0.110 @38k | L300n R0.01 lo srcB e201=0.05 k=3 | 1.044 @3k | 0.093 | 0.093 @251k | 2.40 @14k | 0.536 | 0.518 @211k
1 | Cd 35µ Rd 0.1 | 4 | 0.114 @30k | L300n R0.01 lo srcB e201=0.05 k=4 | 0.946 @0k | 0.093 | 0.093 @251k | 2.17 @13k | 0.509 | 0.495 @211k
1 | Cd 35µ Rd 0.15 | 1 | 0.173 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.647 @4k | 0.138 | 0.137 @211k | 2.15 @35k | 1.012 | 0.976 @211k
1 | Cd 35µ Rd 0.15 | 2 | 0.133 @266k | L300n R0.01 lo srcB e201=0.3 k=1 | 1.230 @3k | 0.126 | 0.133 @266k | 2.28 @21k | 0.495 | 0.542 @282k
1 | Cd 35µ Rd 0.15 | 3 | 0.132 @266k | L300n R0.01 lo srcB e201=0.3 k=1 | 0.994 @3k | 0.127 | 0.132 @266k | 2.17 @15k | 0.661 | 0.652 @211k
1 | Cd 35µ Rd 0.15 | 4 | 0.132 @266k | L300n R0.01 lo srcB e201=0.3 k=1 | 0.946 @0k | 0.127 | 0.132 @266k | 1.99 @11k | 0.598 | 0.583 @211k
1 | Cd 35µ Rd 0.2 | 1 | 0.181 @178k | L300n R0.01 lo srcC e201=0.05 k=1 | 1.572 @4k | 0.178 | 0.177 @211k | 2.17 @38k | 1.281 | 1.179 @211k
1 | Cd 35µ Rd 0.2 | 2 | 0.169 @282k | L300n R0.01 lo srcB e201=0.3 k=1 | 1.171 @3k | 0.154 | 0.169 @282k | 2.14 @21k | 0.656 | 0.637 @282k
1 | Cd 35µ Rd 0.2 | 3 | 0.165 @282k | L300n R0.01 lo srcB e201=0.3 k=1 | 0.950 @3k | 0.155 | 0.165 @282k | 2.02 @15k | 0.753 | 0.760 @211k
1 | Cd 35µ Rd 0.2 | 4 | 0.165 @282k | L300n R0.01 lo srcB e201=0.3 k=1 | 0.946 @0k | 0.155 | 0.165 @282k | 1.87 @11k | 0.664 | 0.654 @211k
1 | Cd 45µ Rd 0.1 | 1 | 0.147 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.541 @4k | 0.095 | 0.095 @211k | 2.01 @32k | 0.734 | 0.704 @211k
