# topo=star: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
1 | Cd 35µ Rd 0.1 | 1 | 0.111 @21k | L100n R0.01 lo srcA e201=0.05 k=1 | 0.229 @11k | 0.095 | 0.095 @211k | 2.32 @33k | 0.752 | 0.719 @211k
1 | Cd 35µ Rd 0.1 | 2 | 0.099 @119k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.179 @8k | 0.095 | 0.094 @211k | 2.32 @33k | 0.752 | 0.719 @211k
1 | Cd 35µ Rd 0.1 | 3 | 0.112 @45k | L300n R0.01 nom srcA e201=0.05 k=1 | 0.153 @7k | 0.095 | 0.094 @211k | 2.32 @33k | 0.752 | 0.719 @211k
1 | Cd 35µ Rd 0.1 | 4 | 0.122 @45k | L300n R0.01 nom srcA e201=0.05 k=1 | 0.136 @6k | 0.095 | 0.094 @211k | 2.32 @33k | 0.752 | 0.719 @211k
1 | Cd 35µ Rd 0.15 | 1 | 0.140 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.220 @11k | 0.138 | 0.137 @211k | 2.15 @35k | 1.012 | 0.976 @211k
1 | Cd 35µ Rd 0.15 | 2 | 0.140 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.172 @8k | 0.137 | 0.136 @211k | 2.15 @35k | 1.012 | 0.976 @211k
1 | Cd 35µ Rd 0.15 | 3 | 0.140 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.147 @7k | 0.137 | 0.136 @211k | 2.15 @35k | 1.012 | 0.976 @211k
1 | Cd 35µ Rd 0.15 | 4 | 0.141 @150k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.132 @6k | 0.137 | 0.136 @211k | 2.15 @35k | 1.012 | 0.976 @211k
1 | Cd 35µ Rd 0.2 | 1 | 0.181 @178k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.214 @11k | 0.178 | 0.176 @211k | 2.17 @38k | 1.281 | 1.179 @211k
1 | Cd 35µ Rd 0.2 | 2 | 0.180 @178k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.167 @8k | 0.178 | 0.175 @211k | 2.17 @38k | 1.281 | 1.179 @211k
1 | Cd 35µ Rd 0.2 | 3 | 0.181 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.143 @7k | 0.177 | 0.175 @211k | 2.17 @38k | 1.281 | 1.179 @211k
