I_ON = 22.92 mA, I_OFF = 1.932 mA, 親の固定負荷は model.I_PARENT
plan | Rser | Rhop | src | mode | V(P) | V(P)-V(D1) mV | V(P)-V(D4) mV | 15-V(D4) mV
1 | 0.0001 | 0.01 | A | design | 14.9869 | 0.28 | 1.03 | 14.1
1 | 0.0001 | 0.01 | A | fault | 14.9807 | 0.92 | 2.30 | 21.6
1 | 0.0001 | 0.01 | C | design | 14.9021 | 0.28 | 1.03 | 99.0
1 | 0.0001 | 0.01 | C | fault | 14.8549 | 0.92 | 2.29 | 147.4
1 | 0.0001 | 0.05 | A | design | 14.9869 | 1.43 | 5.16 | 18.2
1 | 0.0001 | 0.05 | A | fault | 14.9807 | 4.59 | 11.46 | 30.8
1 | 0.0001 | 0.05 | C | design | 14.9021 | 1.43 | 5.16 | 103.1
1 | 0.0001 | 0.05 | C | fault | 14.8549 | 4.59 | 11.46 | 156.6
3 | 0.15 | 0.01 | A | design | 14.9869 | 0.57 | 4.47 | 17.5
3 | 0.15 | 0.01 | A | fault | 14.9807 | 4.36 | 5.73 | 25.1
3 | 0.15 | 0.01 | C | design | 14.9021 | 0.57 | 4.47 | 102.4
3 | 0.15 | 0.01 | C | fault | 14.8549 | 4.35 | 5.73 | 150.9
3 | 0.15 | 0.05 | A | design | 14.9869 | 1.72 | 8.60 | 21.7
3 | 0.15 | 0.05 | A | fault | 14.9807 | 8.02 | 14.90 | 34.3
3 | 0.15 | 0.05 | C | design | 14.9021 | 1.72 | 8.60 | 106.5
3 | 0.15 | 0.05 | C | fault | 14.8549 | 8.02 | 14.90 | 160.0
3 | 0.33 | 0.01 | A | design | 14.9869 | 0.92 | 8.59 | 21.6
3 | 0.33 | 0.01 | A | fault | 14.9807 | 8.48 | 9.86 | 29.2
3 | 0.33 | 0.01 | C | design | 14.9021 | 0.92 | 8.59 | 106.5
3 | 0.33 | 0.01 | C | fault | 14.8549 | 8.48 | 9.86 | 155.0
3 | 0.33 | 0.05 | A | design | 14.9869 | 2.07 | 12.72 | 25.8
3 | 0.33 | 0.05 | A | fault | 14.9807 | 12.15 | 19.03 | 38.4
3 | 0.33 | 0.05 | C | design | 14.9021 | 2.07 | 12.72 | 110.6
3 | 0.33 | 0.05 | C | fault | 14.8549 | 12.15 | 19.02 | 164.2
3 | 0.5 | 0.01 | A | design | 14.9869 | 1.25 | 12.49 | 25.6
3 | 0.5 | 0.01 | A | fault | 14.9807 | 12.38 | 13.75 | 33.1
3 | 0.5 | 0.01 | C | design | 14.9021 | 1.25 | 12.49 | 110.4
3 | 0.5 | 0.01 | C | fault | 14.8549 | 12.38 | 13.75 | 158.9
3 | 0.5 | 0.05 | A | design | 14.9869 | 2.40 | 16.62 | 29.7
3 | 0.5 | 0.05 | A | fault | 14.9807 | 16.05 | 22.92 | 42.3
3 | 0.5 | 0.05 | C | design | 14.9021 | 2.40 | 16.62 | 114.5
3 | 0.5 | 0.05 | C | fault | 14.8549 | 16.04 | 22.92 | 168.1
