design | cer | 新しい娘 Vmax 最悪 [V] | 2×Vmax [V] | 親 P 最小 [V] | hop 電流 max [A]
(1) Rd 0.1 | hi | 20.47 | 40.9 | 3.19 | 185
(1) Rd 0.1 | lo | 19.21 | 38.4 | 7.69 | 88
(1) Rd 0.15 | hi | 20.37 | 40.7 | 3.58 | 180
(1) Rd 0.15 | lo | 19.08 | 38.2 | 8.54 | 80
(1) Rd 0.2 | hi | 20.28 | 40.6 | 3.83 | 177
(1) Rd 0.2 | lo | 18.96 | 37.9 | 8.90 | 77
(2) +100µ ESR 0.02 | hi | 19.01 | 38.0 | 9.83 | 178
(2) +100µ ESR 0.02 | lo | 27.13 | 54.3 | 13.36 | 69
(2) +100µ ESR 0.1 | hi | 16.65 | 33.3 | 7.81 | 169
(2) +100µ ESR 0.1 | lo | 26.03 | 52.1 | 12.50 | 68
(2) +100µ ESR 0.3 | hi | 16.47 | 32.9 | 6.39 | 169
(2) +100µ ESR 0.3 | lo | 25.43 | 50.9 | 11.96 | 67
(2) C201のみ | hi | 19.32 | 38.6 | 4.87 | 169
(2) C201のみ | lo | 24.95 | 49.9 | 11.55 | 66
(3) +100µ ESR 0.02 Rser 0.05 | hi | 16.78 | 33.6 | 11.07 | 117
(3) +100µ ESR 0.02 Rser 0.05 | lo | 24.42 | 48.8 | 13.59 | 58
(3) +100µ ESR 0.02 Rser 0.1 | hi | 16.76 | 33.5 | 11.72 | 87
(3) +100µ ESR 0.02 Rser 0.1 | lo | 22.23 | 44.5 | 13.76 | 50
(3) +100µ ESR 0.02 Rser 0.15 | hi | 16.73 | 33.5 | 11.99 | 68
(3) +100µ ESR 0.02 Rser 0.15 | lo | 20.46 | 40.9 | 13.90 | 44
(3) +100µ ESR 0.02 Rser 0.2 | hi | 16.70 | 33.4 | 12.10 | 56
(3) +100µ ESR 0.02 Rser 0.2 | lo | 19.39 | 38.8 | 14.01 | 39
(3) +100µ ESR 0.02 Rser 0.33 | hi | 16.62 | 33.2 | 12.30 | 38
(3) +100µ ESR 0.02 Rser 0.33 | lo | 17.76 | 35.5 | 14.22 | 30
(3) +100µ ESR 0.02 Rser 0.5 | hi | 16.49 | 33.0 | 12.51 | 27
(3) +100µ ESR 0.02 Rser 0.5 | lo | 16.74 | 33.5 | 14.39 | 23
