## セラミック nom/hi（CIN 10 µF）に限った最悪、n=1..4 全部
(1) Cd45 Rd0.15 ('nom', 'hi') Zpk(20k-3M) 0.124@21k | Zpk(100-20k) 1.31@3.2k | Zmax(fsw) 0.050 | Tpk 1.97@20k | Tmax(fsw) 0.38@211k | n_var=288
(1) Cd45 Rd0.15 ('lo', 'mid') Zpk(20k-3M) 0.152@21k | Zpk(100-20k) 1.44@3.5k | Zmax(fsw) 0.137 | Tpk 1.52@13k | Tmax(fsw) 0.96@211k | n_var=288
(1) Cd35 Rd0.1 ('nom', 'hi') Zpk(20k-3M) 0.132@21k | Zpk(100-20k) 1.54@3.3k | Zmax(fsw) 0.043 | Tpk 2.56@20k | Tmax(fsw) 0.33@211k | n_var=288
(1) Cd35 Rd0.1 ('lo', 'mid') Zpk(20k-3M) 0.173@21k | Zpk(100-20k) 1.73@3.8k | Zmax(fsw) 0.095 | Tpk 2.03@19k | Tmax(fsw) 0.72@211k | n_var=288
(2) +100 ESR0.02 ('nom', 'hi') Zpk(20k-3M) 0.410@67k | Zpk(100-20k) 1.12@2.7k | Zmax(fsw) 0.076 | Tpk 7.37@60k | Tmax(fsw) 0.52@211k | n_var=288
(2) +100 ESR0.02 ('lo', 'mid') Zpk(20k-3M) 3.397@168k | Zpk(100-20k) 1.30@2.7k | Zmax(fsw) 2.166 | Tpk 20.85@168k | Tmax(fsw) 11.67@211k | n_var=288
(2) +220 ESR0.3 ('nom', 'hi') Zpk(20k-3M) 0.270@100k | Zpk(100-20k) 0.94@0.1k | Zmax(fsw) 0.075 | Tpk 7.37@60k | Tmax(fsw) 0.52@211k | n_var=288
(2) +220 ESR0.3 ('lo', 'mid') Zpk(20k-3M) 1.801@168k | Zpk(100-20k) 0.94@0.1k | Zmax(fsw) 1.758 | Tpk 20.85@168k | Tmax(fsw) 11.67@211k | n_var=288
(3) +100 ESR0.02 Rser0.15 ('nom', 'hi') Zpk(20k-3M) 0.265@25k | Zpk(100-20k) 1.23@2.7k | Zmax(fsw) 0.035 | Tpk 1.68@19k | Tmax(fsw) 0.17@211k | n_var=288
(3) +100 ESR0.02 Rser0.15 ('lo', 'mid') Zpk(20k-3M) 1.367@60k | Zpk(100-20k) 1.45@2.7k | Zmax(fsw) 0.467 | Tpk 4.63@56k | Tmax(fsw) 1.51@211k | n_var=288
(3) +100 ESR0.02 Rser0.33 ('nom', 'hi') Zpk(20k-3M) 0.292@21k | Zpk(100-20k) 1.36@2.7k | Zmax(fsw) 0.034 | Tpk 1.05@11k | Tmax(fsw) 0.09@211k | n_var=288
(3) +100 ESR0.02 Rser0.33 ('lo', 'mid') Zpk(20k-3M) 1.031@60k | Zpk(100-20k) 1.62@2.7k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=288
(3) +100 ESR0.02 Rser0.5 ('nom', 'hi') Zpk(20k-3M) 0.309@21k | Zpk(100-20k) 1.47@2.7k | Zmax(fsw) 0.034 | Tpk 1.00@1k | Tmax(fsw) 0.06@211k | n_var=288
(3) +100 ESR0.02 Rser0.5 ('lo', 'mid') Zpk(20k-3M) 0.937@56k | Zpk(100-20k) 1.79@2.7k | Zmax(fsw) 0.300 | Tpk 1.86@53k | Tmax(fsw) 0.49@211k | n_var=288

## (3) Rser 0.33 の親バルク別（全角・n=1..4）: 低域の山は RS6 の仮定モデル次第
Cpb 0 ESR 0.1 srcA Zpk(20k-3M) 0.873@63k | Zpk(100-20k) 0.81@11.9k | Zmax(fsw) 0.331 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 0 ESR 0.1 srcB Zpk(20k-3M) 0.887@63k | Zpk(100-20k) 3.00@4.7k | Zmax(fsw) 0.331 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 0 ESR 0.1 srcC Zpk(20k-3M) 0.887@63k | Zpk(100-20k) 1.29@1.4k | Zmax(fsw) 0.331 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.02 srcA Zpk(20k-3M) 1.028@60k | Zpk(100-20k) 0.67@6.3k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.02 srcB Zpk(20k-3M) 1.031@60k | Zpk(100-20k) 1.62@2.7k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.02 srcC Zpk(20k-3M) 1.031@60k | Zpk(100-20k) 1.28@0.1k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.1 srcA Zpk(20k-3M) 0.927@60k | Zpk(100-20k) 0.66@6.7k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.1 srcB Zpk(20k-3M) 0.933@60k | Zpk(100-20k) 1.42@2.7k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.1 srcC Zpk(20k-3M) 0.933@60k | Zpk(100-20k) 1.28@0.1k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.3 srcA Zpk(20k-3M) 0.884@63k | Zpk(100-20k) 0.70@20.0k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.3 srcB Zpk(20k-3M) 0.894@63k | Zpk(100-20k) 1.19@2.8k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 100 ESR 0.3 srcC Zpk(20k-3M) 0.894@63k | Zpk(100-20k) 1.28@0.1k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.02 srcA Zpk(20k-3M) 1.032@60k | Zpk(100-20k) 0.63@3.0k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.02 srcB Zpk(20k-3M) 1.033@60k | Zpk(100-20k) 1.17@2.0k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.02 srcC Zpk(20k-3M) 1.033@60k | Zpk(100-20k) 1.27@0.1k | Zmax(fsw) 0.343 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.1 srcA Zpk(20k-3M) 0.922@60k | Zpk(100-20k) 0.64@20.0k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.1 srcB Zpk(20k-3M) 0.927@60k | Zpk(100-20k) 1.01@2.1k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.1 srcC Zpk(20k-3M) 0.927@60k | Zpk(100-20k) 1.27@0.1k | Zmax(fsw) 0.336 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.3 srcA Zpk(20k-3M) 0.882@63k | Zpk(100-20k) 0.70@20.0k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.3 srcB Zpk(20k-3M) 0.893@63k | Zpk(100-20k) 0.90@2.5k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192
Cpb 220 ESR 0.3 srcC Zpk(20k-3M) 0.893@63k | Zpk(100-20k) 1.27@0.1k | Zmax(fsw) 0.333 | Tpk 2.64@56k | Tmax(fsw) 0.73@211k | n_var=192

## (1) Cd45 Rd0.15 の源別
A Zpk(20k-3M) 0.152@21k | Zpk(100-20k) 0.30@0.1k | Zmax(fsw) 0.137 | Tpk 1.97@20k | Tmax(fsw) 0.96@211k | n_var=192
B Zpk(20k-3M) 0.139@178k | Zpk(100-20k) 1.44@3.5k | Zmax(fsw) 0.137 | Tpk 1.97@20k | Tmax(fsw) 0.96@211k | n_var=192
C Zpk(20k-3M) 0.139@178k | Zpk(100-20k) 0.94@0.1k | Zmax(fsw) 0.137 | Tpk 1.97@20k | Tmax(fsw) 0.96@211k | n_var=192
