
## hotplug
design | n | 新しい娘の Vmax [V] (角) | VDD−VSS=2×Vmax [V] | 親 P の最小 [V] | 既存の娘1 の最小 [V] | hop 電流 max [A] | 300µs 後の新しい娘 [V]
(1) Cd 40µ Rd 0.1 | 1 | 20.47 (L300n hi srcB) | 40.9 | 3.19 | nan | 138.4 | 12.404
(1) Cd 40µ Rd 0.1 | 2 | 18.06 (L300n hi srcB) | 36.1 | 5.68 | 7.25 | 184.1 | 14.057
(1) Cd 40µ Rd 0.1 | 3 | 17.00 (L300n hi srcB) | 34.0 | 7.29 | 8.84 | 184.6 | 14.988
(1) Cd 40µ Rd 0.1 | 4 | 16.47 (L300n lo srcB) | 32.9 | 8.50 | 9.81 | 184.6 | 14.986
(1) Cd 40µ Rd 0.15 | 1 | 20.37 (L300n hi srcB) | 40.7 | 3.58 | nan | 137.2 | 12.552
(1) Cd 40µ Rd 0.15 | 2 | 18.01 (L300n hi srcB) | 36.0 | 5.92 | 7.19 | 179.4 | 14.124
(1) Cd 40µ Rd 0.15 | 3 | 16.96 (L300n hi srcB) | 33.9 | 7.53 | 8.91 | 179.9 | 14.988
(1) Cd 40µ Rd 0.15 | 4 | 16.42 (L300n lo srcB) | 32.8 | 8.75 | 9.99 | 179.8 | 14.987
(1) Cd 40µ Rd 0.2 | 1 | 20.28 (L300n hi srcB) | 40.6 | 3.83 | nan | 136.4 | 12.693
(1) Cd 40µ Rd 0.2 | 2 | 17.95 (L300n hi srcB) | 35.9 | 6.02 | 7.08 | 176.8 | 14.185
(1) Cd 40µ Rd 0.2 | 3 | 16.93 (L300n hi srcB) | 33.9 | 7.58 | 8.82 | 177.3 | 14.988
(1) Cd 40µ Rd 0.2 | 4 | 16.37 (L300n lo srcB) | 32.7 | 8.79 | 9.96 | 177.3 | 14.987
(2) +100µ ESR 0.02 | 1 | 27.13 (L300n lo srcA) | 54.3 | 9.83 | nan | 177.7 | 14.953
(2) +100µ ESR 0.02 | 2 | 25.78 (L300n lo srcA) | 51.6 | 10.03 | 5.85 | 168.7 | 14.959
(2) +100µ ESR 0.02 | 3 | 24.15 (L300n lo srcA) | 48.3 | 10.35 | 7.24 | 168.8 | 14.965
(2) +100µ ESR 0.02 | 4 | 23.61 (L300n lo srcA) | 47.2 | 10.66 | 8.17 | 168.8 | 14.972
(2) +100µ ESR 0.1 | 1 | 26.03 (L300n lo srcA) | 52.1 | 7.81 | nan | 152.5 | 14.951
(2) +100µ ESR 0.1 | 2 | 24.64 (L300n lo srcA) | 49.3 | 8.77 | 5.83 | 168.6 | 14.956
(2) +100µ ESR 0.1 | 3 | 23.09 (L300n lo srcA) | 46.2 | 9.30 | 7.19 | 168.8 | 14.961
(2) +100µ ESR 0.1 | 4 | 22.64 (L300n lo srcA) | 45.3 | 9.78 | 8.11 | 168.8 | 14.966
(2) +100µ ESR 0.3 | 1 | 25.43 (L300n lo srcA) | 50.9 | 6.39 | nan | 141.4 | 14.914
(2) +100µ ESR 0.3 | 2 | 23.96 (L300n lo srcA) | 47.9 | 7.36 | 5.81 | 168.5 | 14.953
(2) +100µ ESR 0.3 | 3 | 22.45 (L300n lo srcA) | 44.9 | 8.06 | 7.16 | 168.8 | 14.954
(2) +100µ ESR 0.3 | 4 | 22.06 (L300n lo srcA) | 44.1 | 8.67 | 8.07 | 168.8 | 14.956
(2) C201 のみ | 1 | 24.95 (L300n lo srcA) | 49.9 | 4.87 | nan | 133.9 | 12.265
(2) C201 のみ | 2 | 23.41 (L300n lo srcA) | 46.8 | 5.83 | 5.80 | 168.5 | 13.747
(2) C201 のみ | 3 | 21.92 (L300n lo srcA) | 43.8 | 6.66 | 7.14 | 168.8 | 14.986
(2) C201 のみ | 4 | 21.57 (L300n lo srcA) | 43.1 | 7.39 | 8.04 | 168.8 | 14.989
(3) +100µ ESR 0.02 Rser 0.05 | 1 | 24.42 (L300n lo srcA) | 48.8 | 11.07 | nan | 117.5 | 14.953
(3) +100µ ESR 0.02 Rser 0.05 | 2 | 22.68 (L300n lo srcA) | 45.4 | 11.25 | 7.71 | 97.8 | 14.960
(3) +100µ ESR 0.02 Rser 0.05 | 3 | 21.64 (L300n lo srcA) | 43.3 | 11.55 | 9.25 | 95.7 | 14.966
(3) +100µ ESR 0.02 Rser 0.05 | 4 | 20.87 (L300n lo srcA) | 41.7 | 11.85 | 10.20 | 95.6 | 14.973
(3) +100µ ESR 0.02 Rser 0.1 | 1 | 22.23 (L300n lo srcA) | 44.5 | 11.72 | nan | 86.8 | 14.954
(3) +100µ ESR 0.02 Rser 0.1 | 2 | 21.17 (L300n lo srcA) | 42.3 | 11.82 | 9.03 | 73.0 | 14.960
(3) +100µ ESR 0.02 Rser 0.1 | 3 | 20.28 (L300n lo srcA) | 40.6 | 12.03 | 10.48 | 68.4 | 14.967
(3) +100µ ESR 0.02 Rser 0.1 | 4 | 19.58 (L300n lo srcA) | 39.2 | 12.26 | 11.32 | 68.0 | 14.973
(3) +100µ ESR 0.02 Rser 0.15 | 1 | 20.46 (L300n lo srcA) | 40.9 | 11.99 | nan | 68.4 | 14.954
(3) +100µ ESR 0.02 Rser 0.15 | 2 | 20.18 (L300n lo srcA) | 40.4 | 12.17 | 10.01 | 59.3 | 14.961
(3) +100µ ESR 0.02 Rser 0.15 | 3 | 19.43 (L300n lo srcA) | 38.9 | 12.33 | 11.29 | 54.4 | 14.967
(3) +100µ ESR 0.02 Rser 0.15 | 4 | 18.83 (L300n lo srcA) | 37.7 | 12.52 | 12.03 | 53.3 | 14.974
(3) +100µ ESR 0.02 Rser 0.2 | 1 | 19.02 (L300n lo srcA) | 38.0 | 12.10 | nan | 56.3 | 14.955
(3) +100µ ESR 0.02 Rser 0.2 | 2 | 19.39 (L300n lo srcA) | 38.8 | 12.39 | 10.76 | 50.0 | 14.961
(3) +100µ ESR 0.02 Rser 0.2 | 3 | 18.84 (L300n lo srcA) | 37.7 | 12.55 | 11.87 | 45.9 | 14.968
(3) +100µ ESR 0.02 Rser 0.2 | 4 | 18.32 (L300n lo srcA) | 36.6 | 12.71 | 12.52 | 44.3 | 14.974
(3) +100µ ESR 0.02 Rser 0.33 | 1 | 16.62 (L300n hi srcB) | 33.2 | 12.30 | nan | 38.2 | 14.956
(3) +100µ ESR 0.02 Rser 0.33 | 2 | 17.72 (L300n lo srcA) | 35.4 | 12.65 | 12.05 | 35.5 | 14.963
(3) +100µ ESR 0.02 Rser 0.33 | 3 | 17.76 (L300n lo srcA) | 35.5 | 12.87 | 12.81 | 33.1 | 14.969
(3) +100µ ESR 0.02 Rser 0.33 | 4 | 17.50 (L300n lo srcA) | 35.0 | 13.02 | 13.27 | 31.5 | 14.975
(3) +100µ ESR 0.02 Rser 0.5 | 1 | 16.49 (L300n hi srcB) | 33.0 | 12.51 | nan | 26.8 | 14.958
(3) +100µ ESR 0.02 Rser 0.5 | 2 | 16.14 (L300n hi srcB) | 32.3 | 12.83 | 12.99 | 25.6 | 14.964
(3) +100µ ESR 0.02 Rser 0.5 | 3 | 16.66 (L300n lo srcA) | 33.3 | 13.06 | 13.33 | 24.3 | 14.971
(3) +100µ ESR 0.02 Rser 0.5 | 4 | 16.74 (L300n lo srcA) | 33.5 | 13.23 | 13.50 | 23.3 | 14.977

## softstart
design | n | 娘 N の低下 max [mV] (角) | 娘 N の上振れ [mV] | 親 P の低下 [mV] | 娘1 の低下 [mV] | 2ms 後の娘 N の降下 [mV]
(1) Cd 40µ Rd 0.1 | 1 | 4.0 (L300n lo srcB) | 1.0 | 3.9 | nan | 0.9
(1) Cd 40µ Rd 0.1 | 2 | 3.5 (L300n lo srcB) | 0.4 | 3.3 | 3.4 | 1.0
(1) Cd 40µ Rd 0.1 | 3 | 3.2 (L300n lo srcB) | 0.0 | 2.9 | 3.0 | 1.1
(1) Cd 40µ Rd 0.1 | 4 | 3.0 (L300n lo srcB) | 0.0 | 2.6 | 2.7 | 1.2
(1) Cd 40µ Rd 0.15 | 1 | 4.0 (L300n lo srcB) | 0.9 | 3.9 | nan | 0.9
(1) Cd 40µ Rd 0.15 | 2 | 3.4 (L300n lo srcB) | 0.3 | 3.3 | 3.4 | 1.0
(1) Cd 40µ Rd 0.15 | 3 | 3.1 (L300n lo srcB) | 0.0 | 2.9 | 3.0 | 1.1
(1) Cd 40µ Rd 0.15 | 4 | 3.0 (L300n lo srcB) | 0.0 | 2.6 | 2.7 | 1.2
(1) Cd 40µ Rd 0.2 | 1 | 3.9 (L300n lo srcB) | 0.8 | 3.8 | nan | 0.9
(1) Cd 40µ Rd 0.2 | 2 | 3.4 (L300n lo srcB) | 0.3 | 3.2 | 3.3 | 1.0
(1) Cd 40µ Rd 0.2 | 3 | 3.1 (L300n lo srcB) | 0.0 | 2.8 | 2.9 | 1.1
(1) Cd 40µ Rd 0.2 | 4 | 2.9 (L300n lo srcB) | 0.0 | 2.5 | 2.7 | 1.2
(2) +100µ ESR 0.02 | 1 | 3.3 (L300n lo srcB) | 0.5 | 3.2 | nan | 0.9
(2) +100µ ESR 0.02 | 2 | 3.3 (L300n lo srcB) | 0.4 | 3.2 | 3.2 | 1.0
(2) +100µ ESR 0.02 | 3 | 3.4 (L300n lo srcB) | 0.2 | 3.1 | 3.2 | 1.1
(2) +100µ ESR 0.02 | 4 | 3.6 (L300n lo srcB) | 0.2 | 3.1 | 3.2 | 1.2
(2) +100µ ESR 0.1 | 1 | 3.1 (L100n lo srcB) | 0.2 | 3.0 | nan | 0.9
(2) +100µ ESR 0.1 | 2 | 3.2 (L300n lo srcB) | 0.1 | 3.0 | 3.1 | 1.0
(2) +100µ ESR 0.1 | 3 | 3.3 (L300n lo srcB) | 0.0 | 3.0 | 3.1 | 1.1
(2) +100µ ESR 0.1 | 4 | 3.4 (L300n lo srcB) | 0.0 | 3.0 | 3.1 | 1.2
(2) +100µ ESR 0.3 | 1 | 3.0 (L100n lo srcB) | 0.0 | 2.9 | nan | 0.9
(2) +100µ ESR 0.3 | 2 | 3.1 (L300n lo srcB) | 0.0 | 2.9 | 3.0 | 1.0
(2) +100µ ESR 0.3 | 3 | 3.2 (L300n lo srcB) | 0.0 | 2.9 | 3.0 | 1.1
(2) +100µ ESR 0.3 | 4 | 3.3 (L300n lo srcB) | 0.0 | 2.9 | 3.0 | 1.2
(2) C201 のみ | 1 | 5.1 (L300n lo srcB) | 2.0 | 5.1 | nan | 1.0
(2) C201 のみ | 2 | 5.1 (L300n lo srcB) | 1.8 | 5.0 | 5.1 | 1.0
(2) C201 のみ | 3 | 5.2 (L300n lo srcB) | 1.7 | 4.9 | 5.0 | 1.1
(2) C201 のみ | 4 | 5.2 (L300n lo srcB) | 1.5 | 4.8 | 4.9 | 1.2
(3) +100µ ESR 0.02 Rser 0.05 | 1 | 3.7 (L100n lo srcB) | 0.0 | 3.2 | nan | 1.4
(3) +100µ ESR 0.02 Rser 0.05 | 2 | 3.8 (L100n lo srcB) | 0.0 | 3.2 | 3.2 | 1.5
(3) +100µ ESR 0.02 Rser 0.05 | 3 | 3.8 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 1.5
(3) +100µ ESR 0.02 Rser 0.05 | 4 | 3.9 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 1.6
(3) +100µ ESR 0.02 Rser 0.1 | 1 | 4.1 (L100n lo srcB) | 0.0 | 3.2 | nan | 1.8
(3) +100µ ESR 0.02 Rser 0.1 | 2 | 4.2 (L300n lo srcB) | 0.0 | 3.2 | 3.2 | 1.9
(3) +100µ ESR 0.02 Rser 0.1 | 3 | 4.3 (L100n lo srcB) | 0.0 | 3.1 | 3.2 | 2.0
(3) +100µ ESR 0.02 Rser 0.1 | 4 | 4.3 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 2.1
(3) +100µ ESR 0.02 Rser 0.15 | 1 | 4.6 (L100n lo srcB) | 0.0 | 3.2 | nan | 2.2
(3) +100µ ESR 0.02 Rser 0.15 | 2 | 4.6 (L100n lo srcB) | 0.0 | 3.2 | 3.3 | 2.3
(3) +100µ ESR 0.02 Rser 0.15 | 3 | 4.7 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 2.4
(3) +100µ ESR 0.02 Rser 0.15 | 4 | 4.7 (L100n lo srcB) | 0.0 | 3.1 | 3.2 | 2.5
(3) +100µ ESR 0.02 Rser 0.2 | 1 | 5.0 (L300n lo srcB) | 0.0 | 3.2 | nan | 2.7
(3) +100µ ESR 0.02 Rser 0.2 | 2 | 5.1 (L100n lo srcB) | 0.0 | 3.2 | 3.2 | 2.8
(3) +100µ ESR 0.02 Rser 0.2 | 3 | 5.1 (L100n lo srcB) | 0.0 | 3.1 | 3.2 | 2.8
(3) +100µ ESR 0.02 Rser 0.2 | 4 | 5.2 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 2.9
(3) +100µ ESR 0.02 Rser 0.33 | 1 | 6.1 (L100n lo srcB) | 0.0 | 3.2 | nan | 3.8
(3) +100µ ESR 0.02 Rser 0.33 | 2 | 6.2 (L100n lo srcB) | 0.0 | 3.2 | 3.2 | 3.9
(3) +100µ ESR 0.02 Rser 0.33 | 3 | 6.2 (L100n lo srcB) | 0.0 | 3.1 | 3.2 | 4.0
(3) +100µ ESR 0.02 Rser 0.33 | 4 | 6.3 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 4.1
(3) +100µ ESR 0.02 Rser 0.5 | 1 | 7.6 (L100n lo srcB) | 0.0 | 3.2 | nan | 5.3
(3) +100µ ESR 0.02 Rser 0.5 | 2 | 7.6 (L300n lo srcB) | 0.0 | 3.2 | 3.2 | 5.3
(3) +100µ ESR 0.02 Rser 0.5 | 3 | 7.7 (L100n lo srcB) | 0.0 | 3.1 | 3.2 | 5.4
(3) +100µ ESR 0.02 Rser 0.5 | 4 | 7.8 (L300n lo srcB) | 0.0 | 3.1 | 3.2 | 5.5

## step20
design | n | 娘 N の低下 max [mV] (角) | 娘 N の上振れ [mV] | 親 P の低下 [mV] | 娘1 の低下 [mV] | 2ms 後の娘 N の降下 [mV]
(1) Cd 40µ Rd 0.1 | 1 | 9.8 (L300n lo srcB) | 2.5 | 9.6 | nan | 2.3
(1) Cd 40µ Rd 0.1 | 2 | 8.5 (L300n lo srcB) | 1.0 | 8.1 | 8.3 | 2.5
(1) Cd 40µ Rd 0.1 | 3 | 7.8 (L300n lo srcB) | 0.0 | 7.1 | 7.3 | 2.7
(1) Cd 40µ Rd 0.1 | 4 | 7.3 (L300n lo srcB) | 0.0 | 6.4 | 6.7 | 2.9
(1) Cd 40µ Rd 0.15 | 1 | 9.7 (L300n lo srcB) | 2.3 | 9.5 | nan | 2.3
(1) Cd 40µ Rd 0.15 | 2 | 8.4 (L300n lo srcB) | 0.8 | 8.0 | 8.2 | 2.5
(1) Cd 40µ Rd 0.15 | 3 | 7.7 (L300n lo srcB) | 0.0 | 7.0 | 7.2 | 2.7
(1) Cd 40µ Rd 0.15 | 4 | 7.2 (L300n lo srcB) | 0.0 | 6.3 | 6.6 | 2.9
(1) Cd 40µ Rd 0.2 | 1 | 9.6 (L300n lo srcB) | 2.1 | 9.4 | nan | 2.3
(1) Cd 40µ Rd 0.2 | 2 | 8.3 (L300n lo srcB) | 0.7 | 7.9 | 8.1 | 2.5
(1) Cd 40µ Rd 0.2 | 3 | 7.6 (L300n lo srcB) | 0.0 | 6.9 | 7.2 | 2.7
(1) Cd 40µ Rd 0.2 | 4 | 7.2 (L300n lo srcB) | 0.0 | 6.2 | 6.5 | 2.9
(2) +100µ ESR 0.02 | 1 | 8.1 (L300n lo srcB) | 3.9 | 7.8 | nan | 2.3
(2) +100µ ESR 0.02 | 2 | 8.4 (L300n lo srcB) | 4.6 | 7.7 | 8.1 | 2.5
(2) +100µ ESR 0.02 | 3 | 8.8 (L300n lo srcB) | 4.3 | 7.7 | 8.1 | 2.7
(2) +100µ ESR 0.02 | 4 | 9.1 (L300n lo srcB) | 3.7 | 7.6 | 8.1 | 3.0
(2) +100µ ESR 0.1 | 1 | 7.6 (L300n lo srcB) | 2.8 | 7.4 | nan | 2.3
(2) +100µ ESR 0.1 | 2 | 7.8 (L300n lo srcB) | 3.3 | 7.4 | 7.6 | 2.5
(2) +100µ ESR 0.1 | 3 | 8.1 (L300n lo srcB) | 2.9 | 7.3 | 7.6 | 2.7
(2) +100µ ESR 0.1 | 4 | 8.3 (L300n lo srcB) | 2.4 | 7.3 | 7.6 | 2.9
(2) +100µ ESR 0.3 | 1 | 7.4 (L300n lo srcB) | 2.1 | 7.1 | nan | 2.3
(2) +100µ ESR 0.3 | 2 | 7.6 (L300n lo srcB) | 2.4 | 7.1 | 7.4 | 2.5
(2) +100µ ESR 0.3 | 3 | 8.1 (L300n lo srcB) | 2.0 | 7.1 | 7.4 | 2.7
(2) +100µ ESR 0.3 | 4 | 8.8 (L300n lo srcB) | 1.5 | 7.0 | 7.4 | 2.9
(2) C201 のみ | 1 | 12.6 (L300n lo srcB) | 4.9 | 12.4 | nan | 2.3
(2) C201 のみ | 2 | 12.7 (L300n lo srcB) | 4.5 | 12.1 | 12.4 | 2.5
(2) C201 のみ | 3 | 13.0 (L300n lo srcB) | 4.1 | 12.0 | 12.3 | 2.8
(2) C201 のみ | 4 | 13.0 (L300n lo srcB) | 3.8 | 11.8 | 12.2 | 2.9
(3) +100µ ESR 0.02 Rser 0.05 | 1 | 9.0 (L100n lo srcB) | 1.3 | 7.8 | nan | 3.4
(3) +100µ ESR 0.02 Rser 0.05 | 2 | 9.2 (L300n lo srcB) | 2.0 | 7.7 | 7.9 | 3.6
(3) +100µ ESR 0.02 Rser 0.05 | 3 | 9.4 (L300n lo srcB) | 1.8 | 7.7 | 7.9 | 3.8
(3) +100µ ESR 0.02 Rser 0.05 | 4 | 9.7 (L300n lo srcB) | 1.3 | 7.6 | 7.9 | 4.0
(3) +100µ ESR 0.02 Rser 0.1 | 1 | 10.1 (L100n lo srcB) | 0.0 | 7.8 | nan | 4.4
(3) +100µ ESR 0.02 Rser 0.1 | 2 | 10.2 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 4.6
(3) +100µ ESR 0.02 Rser 0.1 | 3 | 10.4 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 4.8
(3) +100µ ESR 0.02 Rser 0.1 | 4 | 10.6 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 5.1
(3) +100µ ESR 0.02 Rser 0.15 | 1 | 11.1 (L100n lo srcB) | 0.0 | 7.8 | nan | 5.4
(3) +100µ ESR 0.02 Rser 0.15 | 2 | 11.3 (L100n lo srcB) | 0.0 | 7.7 | 7.9 | 5.7
(3) +100µ ESR 0.02 Rser 0.15 | 3 | 11.4 (L300n lo srcB) | 0.0 | 7.7 | 7.9 | 5.9
(3) +100µ ESR 0.02 Rser 0.15 | 4 | 11.6 (L300n lo srcB) | 0.0 | 7.6 | 7.8 | 6.1
