Rser 娘バルク 親+ 源 Rpptc | VCC_TONE 前 | 親最低 | VCC_TONE 最低 | 8.55 V 未満 ms | 8.9 V 未満 ms
 4.7 none   -   L03 7.5 | 9.00 | 9.90 | 8.17 | 0.53 | 0.81
 4.7 none   -   L06 7.5 | 9.00 | 11.00 | 9.00 | 0.00 | 0.00
 4.7 none +100u L03 7.5 | 9.00 | 12.55 | 9.00 | 0.00 | 0.00
 4.7 none +100u L06 7.5 | 9.00 | 13.18 | 9.00 | 0.00 | 0.00
 4.7 b45    -   L03 7.5 | 9.00 | 7.47 | 6.04 | 2.79 | 3.15
 4.7 b45    -   L06 7.5 | 9.00 | 8.99 | 7.44 | 0.83 | 1.03
 4.7 b45  +100u L03 7.5 | 9.00 | 10.70 | 8.90 | 0.00 | 0.00
 4.7 b45  +100u L06 7.5 | 9.00 | 11.74 | 9.00 | 0.00 | 0.00
10.0 none   -   L03 7.5 | 9.00 | 10.71 | 8.92 | 0.00 | 0.00
10.0 none   -   L06 7.5 | 9.00 | 12.59 | 9.00 | 0.00 | 0.00
10.0 none +100u L03 7.5 | 9.00 | 13.03 | 9.00 | 0.00 | 0.00
10.0 none +100u L06 7.5 | 9.00 | 13.96 | 9.00 | 0.00 | 0.00
10.0 b45    -   L03 7.5 | 9.00 | 8.68 | 6.88 | 2.35 | 2.72
10.0 b45    -   L06 7.5 | 9.00 | 11.09 | 9.00 | 0.00 | 0.00
10.0 b45  +100u L03 7.5 | 9.00 | 11.48 | 9.00 | 0.00 | 0.00
10.0 b45  +100u L06 7.5 | 9.00 | 13.07 | 9.00 | 0.00 | 0.00
22.0 none   -   L03 7.5 | 9.00 | 12.25 | 9.00 | 0.00 | 0.00
22.0 none   -   L06 7.5 | 9.00 | 14.58 | 9.00 | 0.00 | 0.00
22.0 none +100u L03 7.5 | 9.00 | 13.80 | 9.00 | 0.00 | 0.00
22.0 none +100u L06 7.5 | 9.00 | 14.80 | 9.00 | 0.00 | 0.00
22.0 b45    -   L03 7.5 | 9.00 | 10.61 | 8.81 | 0.00 | 0.69
22.0 b45    -   L06 7.5 | 9.00 | 14.26 | 9.00 | 0.00 | 0.00
22.0 b45  +100u L03 7.5 | 9.00 | 12.78 | 9.00 | 0.00 | 0.00
22.0 b45  +100u L06 7.5 | 9.00 | 14.66 | 9.00 | 0.00 | 0.00
