データシート,画像,DK品番,メーカー品番,メーカー,サプライヤ,商品概要,在庫,価格,@ qty,最小発注数量, パッケージ,シリーズ,製品ステータス,"タイプ","出力数","電圧 - 入力（最小）","電圧 - 入力（最大）","電圧 - 出力1","電圧 - 出力2","電圧 - 出力3","電圧 - 出力4","電流 - 出力（最大）","電力（ワット）","電圧 - 絶縁","用途","特長","動作温度","効率","取り付けタイプ","パッケージ/ケース","サイズ/寸法","サプライヤデバイスパッケージ","制御機能","承認機関","規格番号","URL"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-0515DH30LPZ-ND","AM1DS-0515DH30LPZ","aimtec","DComponents","1W DC/DC Converter","449","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","4.5V","5.5V","-15V","15V","-","-","34mA、34mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-0515DH30LPZ/27524047"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1215DH30LPZ-ND","AM1DS-1215DH30LPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","10.8V","13.2V","-15V","15V","-","-","34mA、34mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1215DH30LPZ/27524239"
"https://micropowerdirect.com/wp-content/uploads/2024/10/MD200CHI.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxCHI.jpg","5943-MD212D-12CHI-ND","MD212D-12CHI","MicroPower Direct","MicroPower Direct","DC/DC,2W,12V IN,12V OUT,5 KV","110","5.06","0","1","チューブ","MD200CHI (2W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","83mA","2 W","6 kV","産業用、ITE（商用）","比例出力、SCP","-40°C～105°C","83%","-","-","長さ0.77インチ x 幅0.39インチ x 高さ0.49インチ（19.5mm x 9.9mm x 12.5mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD212D-12CHI/25932755"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6611/MD100MEHI.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxCHI.jpg","5943-MD112MD-12EHI-ND","MD112MD-12EHI","MicroPower Direct","MicroPower Direct","DC/DC,1W,12V IN,12V OUT,5 KV","328","6.08","0","1","チューブ","MD100MEHI (1W)","生産中止品","絶縁モジュール","2","-","-","-12V","12V","-","-","42mA","1 W","4.2 kV","民生用、医療","比例出力","-40°C～85°C","73%","スルーホール","-","長さ0.77インチ x 幅0.39インチ x 高さ0.49インチ（19.5mm x 9.9mm x 12.5mm）","-","イネーブル、アクティブハイ","-","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD112MD-12EHI/25932733"
"https://micropowerdirect.com/wp-content/uploads/2024/09/MD300CRW-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6532/MFG_MDxxxCRW.jpg","5943-MD324D-12CRW-ND","MD324D-12CRW","MicroPower Direct","MicroPower Direct","DC/DC,3W,24V IN,12V OUT,1.5 KV","136","7.12","0","1","チューブ","MD300CRW (3W)","アクティブ","絶縁モジュール","2","-","-","-12V","12V","-","-","125mA","3 W","1.5 kV","産業用、ITE（商用）","比例出力、SCP","-40°C～85°C","81%","-","-","長さ0.87インチ x 幅0.37インチ x 高さ0.47インチ（22.0mm x 9.5mm x 12.0mm）","-","イネーブル、アクティブハイ","CE","-","https://www.digikey.jp/ja/products/detail/micropower-direct/MD324D-12CRW/25932798"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1212DH30LPZ-ND","AM1DS-1212DH30LPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","10.8V","13.2V","-12V","12V","-","-","42mA、42mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","87%","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1212DH30LPZ/27523634"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-2412DH30LPZ-ND","AM1DS-2412DH30LPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","21.6V","26.4V","-12V","12V","-","-","42mA、42mA","1 W","3000 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-2412DH30LPZ/27523689"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1212DLPZ-ND","AM1DS-1212DLPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","10.8V","13.2V","-12V","12V","-","-","42mA、42mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","87%","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1212DLPZ/27523744"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-0515DLPZ-ND","AM1DS-0515DLPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","4.5V","5.5V","-15V","15V","-","-","34mA、34mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","0.88","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-0515DLPZ/27523985"
"https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM1DS-LPZ.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/MFG_6286_AM1DS-0515DLPZ.jpg","6286-AM1DS-1512DLPZ-ND","AM1DS-1512DLPZ","aimtec","DComponents","1W DC/DC Converter","390","1.67","0","1","チューブ","AM1DS-LPZ","アクティブ","絶縁モジュール","2","13.5V","16.5V","-12V","12V","-","-","42mA、42mA","1 W","1500 V","ITE（商用）","-","-40°C～105°C","87%","スルーホール","7-SIPモジュール","長さ0.77インチ x 幅0.24インチ x 高さ0.40インチ（19.6mm x 6.0mm x 10.2mm）","7-SIP","-","CE","62368-1","https://www.digikey.jp/ja/products/detail/dcomponents/AM1DS-1512DLPZ/27523990"
